"doc_id","AB","TI","DI","LA"
"EJIOFOR AO, 2016, SHORT VIEWS ON INSECT GENOMICS AND PROTEOMICS, VOL 2: INSECT PROTEOMICS","For the purpose of this work, insect biotechnology, which is also known as yellow biotechnology, is the use of insects as well as insect-derived cells or molecules in medical (red biotechnology), agricultural (green biotechnology), and industrial (white) biotechnology. It is based on the application of biotechnological techniques on insects or their cells to develop products or services for human use. Such products are then applied in agriculture, medicine, and industrial biotechnology. Insect biotechnology has proven to be a useful resource in diverse industries, especially for the production of industrial enzymes including chitinases and cellulases, pharmaceuticals, microbial insecticides, insect genes, and many other substances. Insect cells (ICs), and particularly lepidopteran cells, constitute a competitive strategy to mammalian cells for the manufacturing of biotechnology products. Among the wide range of methods and expression hosts available for the production of biotech products, ICs are ideal for the production of complex proteins requiring extensive posttranslational modification. The progress so far made in insect biotechnology essentially derives from scientific breakthroughs in molecular biology, especially with the advances in techniques that allow genetic manipulation of organisms and cells. Insect biotechnology has grown tremendously in the last 30 years.","Insect Biotechnology","10.1007/978-3-319-24244-6\_8","ENGLISH"
"EL SALAMONY DH, 2024, BIORESOUR TECHNOL 1","Feather waste, a by-product of the poultry industry, is rich in proteins, peptides, and amino acids. Improper disposal of feathers can cause environmental pollution. Solid-state fermentation (SSF) is a viable alternative to submerged fermentation due to its simplicity, productivity, and lower cost. The study goal is a biorefinery of chicken feather waste supplemented with wheat bran using a recombinant Bacillus subtilis strain to produce soluble proteins and a serine alkaline protease. Plackett-Burman Design and Central Composite Design were utilized in a statistical-mathematical model to optimize the process. Multi-factorial design optimization resulted in 80 % substrate degradation efficiency, an alkaline protease with dual activities (1423 proteolytic units and 190 keratinolytic units), 214 mg soluble proteins/g substrate, and 87 % model validation. Scaling up the SSF process to 50 g of substrate significantly enhanced the end products of feather biodegradation to 1616 proteolytic units, 2844 keratinolytic units, and 127 mg soluble proteins/g substrate. AIM AND SCOPE OF THE MANUSCRIPT: The aim of the present study is to utilize chicken feather waste (alone or supplemented with other materials) through recombinant Bacillus subtilis cells using solid state fermentation (SSF) at a laboratory scale. The plan study provides a promising waste management in the environmental field concerning biodegradation of such recalcitrant keratinous wastes supplemented with agricultural residues via recombinant microorganism. On semi-pilot scale, high production and quality of soluble protein, protease, and keratinase activity were produced according to the statistically optimised first stage fermentation in the laboratory scale. The bioconversion process took place as a major goal to obtain valuable products, with low utilities and energy requirements. Therefore, this will consider as an economically feasible and environmentally friendly alternative. Moreover, this study is considered as first step fermentation for feather waste to pave the road for directing it to a second step fermentation for biogas production and bioenergy generation through bio-electrochemical systems (Manuscript under publication).","Valorization of chicken feather waste using recombinant bacillus subtilis cells by solid-state fermentation for soluble proteins and serine alkaline protease production.","S0960-8524(23)01538-9","ENG"
"EL SALAMONY DH, 2024, BIORESOUR TECHNOL 2","Feather waste, a by-product of the poultry industry, is rich in proteins, peptides, and amino acids. Improper disposal of feathers can cause environmental pollution. Solid-state fermentation (SSF) is a viable alternative to submerged fermentation due to its simplicity, productivity, and lower cost. The study goal is a biorefinery of chicken feather waste supplemented with wheat bran using a recombinant Bacillus subtilis strain to produce soluble proteins and a serine alkaline protease. Plackett-Burman Design and Central Composite Design were utilized in a statistical-mathematical model to optimize the process. Multi-factorial design optimization resulted in 80 % substrate degradation efficiency, an alkaline protease with dual activities (1423 proteolytic units and 190 keratinolytic units), 214 mg soluble proteins/g substrate, and 87 % model validation. Scaling up the SSF process to 50 g of substrate significantly enhanced the end products of feather biodegradation to 1616 proteolytic units, 2844 keratinolytic units, and 127 mg soluble proteins/g substrate. Aim and scope of the manuscript: The aim of the present study is to utilize chicken feather waste (alone or supplemented with other materials) through recombinant Bacillus subtilis cells using solid state fermentation (SSF) at a laboratory scale. The plan study provides a promising waste management in the environmental field concerning biodegradation of such recalcitrant keratinous wastes supplemented with agricultural residues via recombinant microorganism. On semi-pilot scale, high production and quality of soluble protein, protease, and keratinase activity were produced according to the statistically optimised first stage fermentation in the laboratory scale. The bioconversion process took place as a major goal to obtain valuable products, with low utilities and energy requirements. Therefore, this will consider as an economically feasible and environmentally friendly alternative. Moreover, this study is considered as first step fermentation for feather waste to pave the road for directing it to a second step fermentation for biogas production and bioenergy generation through bio-electrochemical systems (Manuscript under publication). © 2023 Elsevier Ltd","Valorization of chicken feather waste using recombinant bacillus subtilis cells by solid-state fermentation for soluble proteins and serine alkaline protease production","10.1016/j.biortech.2023.130110","ENGLISH"
"EL SALAMONY DH, 2024, BIORESOUR TECHNOL 3","Feather waste, a by-product of the poultry industry, is rich in proteins, peptides, and amino acids. Improper disposal of feathers can cause environmental pollution. Solid-state fermentation (SSF) is a viable alternative to submerged fermentation due to its simplicity, productivity, and lower cost. The study goal is a biorefinery of chicken feather waste supplemented with wheat bran using a recombinant Bacillus subtilis strain to produce soluble proteins and a serine alkaline protease. Plackett-Burman Design and Central Composite Design were utilized in a statistical-mathematical model to optimize the process. Multi-factorial design optimization resulted in 80 \% substrate degradation efficiency, an alkaline protease with dual activities (1423 proteolytic units and 190 keratinolytic units), 214 mg soluble proteins/g substrate, and 87 \% model validation. Scaling up the SSF process to 50 g of substrate significantly enhanced the end products of feather biodegradation to 1616 proteolytic units, 2844 keratinolytic units, and 127 mg soluble proteins/g substrate. Aim and scope of the manuscript: The aim of the present study is to utilize chicken feather waste (alone or supplemented with other materials) through recombinant Bacillus subtilis cells using solid state fermentation (SSF) at a laboratory scale. The plan study provides a promising waste management in the environmental field concerning biodegradation of such recalcitrant keratinous wastes supplemented with agricultural residues via recombinant microorganism. On semi-pilot scale, high production and quality of soluble protein, protease, and keratinase activity were produced according to the statistically optimised first stage fermentation in the laboratory scale. The bioconversion process took place as a major goal to obtain valuable products, with low utilities and energy requirements. Therefore, this will consider as an economically feasible and environmentally friendly alternative. Moreover, this study is considered as first step fermentation for feather waste to pave the road for directing it to a second step fermentation for biogas production and bioenergy generation through bioelectrochemical systems (Manuscript under publication).","Valorization of chicken feather waste using recombinant bacillus subtilis cells by solid-state fermentation for soluble proteins and serine alkaline protease production","10.1016/j.biortech.2023.130110","ENGLISH"
"EL-NAGGAR NE-A, 2014, BRAZ J MICROBIOL","The use of low cost agro-industrial residues for the production of industrial enzymes is one of the ways to reduce significantly production costs. Cellulase producing actinomycetes were isolated from soil and decayed agricultural wastes. Among them, a potential culture, strain NEAE-J, was selected and identified on the basis of morphological, cultural, physiological and chemotaxonomic properties, together with 16S rDNA sequence. It is proposed that strain NEAE-J should be included in the species Streptomyces albogriseolus as a representative of a novel sub-species, Streptomyces albogriseolus subsp. cellulolyticus strain NEAE-J and sequencing product was deposited in the GenBank database under accession number JN229412. This organism was tested for its ability to produce endoglucanase and release reducing sugars from agro-industrial residues as substrates. Sugarcane bagasse was the most suitable substrate for endoglucanase production. Effects of process variables, namely incubation time, temperature, initial pH and nitrogen source on production of endoglucanase by submerged fermentation using Streptomyces albogriseolus subsp. cellulolyticus have been studied. Accordingly optimum conditions have been determined. Incubation temperature of 30 °C after 6 days, pH of 6.5, 1% sugarcane bagasse as carbon source and peptone as nitrogen source were found to be the optimum for endoglucanase production. Optimization of the process parameters resulted in about 2.6 fold increase in the endoglucanase activity. Therefore, Streptomyces albogriseolus subsp. cellulolyticus coud be potential microorganism for the intended application. © 2014, Sociedade Brasileira de Microbiologia. All Rights Reserved.","Bioprocessing of some agro-industrial residues for endoglucanase production by the new subsp.; Streptomyces albogriseolus subsp. cellulolyticus strain NEAE-J","10.1590/S1517-83822014005000049","ENGLISH"
"EL-NAGGAR NEA, 2014, BRAZ J MICROBIOL","The use of low cost agro-industrial residues for the production of industrial enzymes is one of the ways to reduce significantly production costs. Cellulase producing actinomycetes were isolated from soil and decayed agricultural wastes. Among them, a potential culture, strain NEAE-J, was selected and identified on the basis of morphological, cultural, physiological and chemotaxonomic properties, together with 16S rDNA sequence. It is proposed that strain NEAE-J should be included in the species Streptomyces albogriseolus as a representative of a novel sub-species, Streptomyces albogriseolus subsp. cellulolyticus strain NEAE-J and sequencing product was deposited in the GenBank database under accession number JN229412. This organism was tested for its ability to produce endoglucanase and release reducing sugars from agro-industrial residues as substrates. Sugarcane bagasse was the most suitable substrate for endoglucanase production. Effects of process variables, namely incubation time, temperature, initial pH and nitrogen source on production of endoglucanase by submerged fermentation using Streptomyces albogriseolus subsp. cellulolyticus have been studied. Accordingly optimum conditions have been determined. Incubation temperature of 30 degrees C after 6 days, pH of 6.5, 1\% sugarcane bagasse as carbon source and peptone as nitrogen source were found to be the optimum for endoglucanase production. Optimization of the process parameters resulted in about 2.6 fold increase in the endoglucanase activity. Therefore, Streptomyces albogriseolus subsp. cellulolyticus coud be potential microorganism for the intended application.","Bioprocessing of some agro-industrial residues for endoglucanase production by the new subsp.; Streptomyces albogriseolus subsp. cellulolyticus strain NEAE-J","10.1590/S1517-83822014005000049","ENGLISH"
"EL-NAGGAR NEL-A, 2014, BRAZ J MICROBIOL","The use of low cost agro-industrial residues for the production of industrial enzymes is one of the ways to reduce significantly production costs. Cellulase producing actinomycetes were isolated from soil and decayed agricultural wastes. Among them, a potential culture, strain NEAE-J, was selected and identified on the basis of morphological, cultural, physiological and chemotaxonomic properties, together with 16S rDNA sequence. It is proposed that strain NEAE-J should be included in the species Streptomyces albogriseolus as a representative of a novel sub-species, Streptomyces albogriseolus subsp. cellulolyticus strain NEAE-J and sequencing product was deposited in the GenBank database under accession number JN229412. This organism was tested for its ability to produce endoglucanase and release reducing sugars from agro-industrial residues as substrates. Sugarcane bagasse was the most suitable substrate for endoglucanase production. Effects of process variables, namely incubation time, temperature, initial pH and nitrogen source on production of endoglucanase by submerged fermentation using Streptomyces albogriseolus subsp. cellulolyticus have been studied. Accordingly optimum conditions have been determined. Incubation temperature of 30 °C after 6 days, pH of 6.5, 1% sugarcane bagasse as carbon source and peptone as nitrogen source were found to be the optimum for endoglucanase production. Optimization of the process parameters resulted in about 2.6 fold increase in the endoglucanase activity. Therefore, Streptomyces albogriseolus subsp. cellulolyticus coud be potential microorganism for the intended application.","Bioprocessing of some agro-industrial residues for endoglucanase production by the new subsp.; Streptomyces albogriseolus subsp. cellulolyticus strain NEAE-J.",NA,"ENG"
"ELMEKAWY A, 2013, ENVIRON SCI TECHNOL","The growth of the biobased economy will lead to an increase in new biorefinery activities. All biorefineries face the regular challenges of efficiently and economically treating their effluent to be compatible with local discharge requirements and to minimize net water consumption. The amount of wastes resulting from biorefineries industry is exponentially growing. The valorization of such wastes has drawn considerable attention with respect to resources with an observable economic and environmental concern. This has been a promising field which shows great prospective toward byproduct usage and increasing value obtained from the biorefinery. However, full-scale realization of biorefinery wastes valorization is not straightforward because several microbiological, technological and economic challenges need to be resolved. In this review we considered valorization options for cereals based biorefineries wastes while identifying their challenges and exploring the opportunities for future process. © 2013 American Chemical Society.","Valorization of cereal based biorefinery byproducts: Reality and expectations","10.1021/es402395g","ENGLISH"
"ERIAN AM, 2022, BIORESOUR TECHNOL","Sugar alcohols are widely marketed compounds. They are useful building block chemicals and of particular value as low- or non-calorigenic sweeteners, serving as sugar substitutes in the food industry. To date most sugar alcohols are produced by chemical routes using pure sugars, but a transition towards the use of renewable, non-edible feedstocks is anticipated. Several yeasts are naturally able to convert renewable feedstocks, such as lignocellulosic substrates, glycerol and molasses, into sugar alcohols. These bioconversions often face difficulties to obtain sufficiently high yields and productivities necessary for industrialization. This review provides insight into the most recent studies on utilizing yeasts for the conversion of renewable feedstocks to diverse sugar alcohols, including xylitol, erythritol, mannitol and arabitol. Moreover, metabolic approaches are highlighted that specifically target shortcomings of sugar alcohol production by yeasts from these renewable substrates. © 2021 The Author(s)","Utilizing yeasts for the conversion of renewable feedstocks to sugar alcohols - a review","10.1016/j.biortech.2021.126296","ENGLISH"
"ERKANLI ME, 2024, ENZYME MICROB TECHNOL","High-value chemicals and energy-related products can be produced from biomass. Biorefinery technology offers a sustainable and cost-effective method for this high-value conversion. β-glucosidase is one of the key enzymes in biorefinery processes, catalyzing the production of glucose from aryl-glycosides and cello-oligosaccharides via the hydrolysis of β-glycosidic bonds. Although β-glucosidase plays a critical catalytic role in the utilization of cellulosic biomass, its efficacy is often limited by substrate or product inhibitions, low thermostability, and/or insufficient catalytic activity. To provide a detailed overview of β-glucosidases and their benefits in certain desired applications, we collected and summarized extensive information from literature and public databases, covering β-glucosidases in different glycosidase hydrolase families and biological kingdoms. These β-glucosidases show differences in amino acid sequence, which are translated into varying degrees of the molecular properties critical in enzymatic applications. This review describes studies on the diversity of β-glucosidases related to the classification, catalytic mechanisms, key molecular characteristics, kinetics models, and applications, and highlights several β-glucosidases displaying high stability, activity, and resistance to glucose inhibition suitable for desired biotechnological applications. © 2023 Elsevier Inc.","Exploring the diversity of β-glucosidase: Classification, catalytic mechanism, molecular characteristics, kinetic models, and applications","10.1016/j.enzmictec.2023.110363","ENGLISH"
"FAN X, 2024, BIOMASS BIOENERG","Xylooligosaccharides (XOS) are prebiotic oligosaccharides made from xylose monomers linked by beta-1,4-glycosidic bonds and can be obtained by processing lignocellulosic biomass (LCB). Research on XOS is growing rapidly and has received widespread attention. XOS is currently used in food, feed, medicine, and agriculture. This article provides an overview of XOS production strategies, purification methods, applications, and ideas for biorefineries producing XOS and other products. Among them, organic acid catalysis is a promising production strategy with high yields, low by-products, fast reaction rates, and environmental friendliness. Various xylanases, including essential and auxiliary enzymes, have been developed to produce XOS. The use of immobilized enzymes in the enzymatic hydrolysis process will help to reduce the production cost of XOS, and it can enhance the hydrolysis performance of the enzyme to a certain extent; therefore, the development of immobilized enzyme technology is particularly important for the production of XOS by enzymatic hydrolysis. Nowadays, the processing of LCB has evolved towards a more efficient and cleaner direction. There are fewer studies on biorefineries for the production of XOS, and this review also suggests some ideas for the production of biorefineries.","Total utilization of lignocellulosic biomass with xylooligosaccharides production priority: A review","10.1016/j.biombioe.2023.107038","ENGLISH"
"FAN X, 2024, BIOMASS BIOENERGY","Xylooligosaccharides (XOS) are prebiotic oligosaccharides made from xylose monomers linked by β-1,4-glycosidic bonds and can be obtained by processing lignocellulosic biomass (LCB). Research on XOS is growing rapidly and has received widespread attention. XOS is currently used in food, feed, medicine, and agriculture. This article provides an overview of XOS production strategies, purification methods, applications, and ideas for biorefineries producing XOS and other products. Among them, organic acid catalysis is a promising production strategy with high yields, low by-products, fast reaction rates, and environmental friendliness. Various xylanases, including essential and auxiliary enzymes, have been developed to produce XOS. The use of immobilized enzymes in the enzymatic hydrolysis process will help to reduce the production cost of XOS, and it can enhance the hydrolysis performance of the enzyme to a certain extent; therefore, the development of immobilized enzyme technology is particularly important for the production of XOS by enzymatic hydrolysis. Nowadays, the processing of LCB has evolved towards a more efficient and cleaner direction. There are fewer studies on biorefineries for the production of XOS, and this review also suggests some ideas for the production of biorefineries. © 2023 Elsevier Ltd","Total utilization of lignocellulosic biomass with xylooligosaccharides production priority: A review","10.1016/j.biombioe.2023.107038","ENGLISH"
"FARINAS CS, 2018, METHODS MOL BIOL 1","The conversion of renewable lignocellulosic biomass into fuels, chemicals, and high-value materials using the biochemical platform has been considered the most sustainable alternative for the implementation of future biorefineries. However, the high cost of the cellulolytic enzymatic cocktails used in the saccharification step significantly affects the economics of industrial large-scale conversion processes. The on-site production of enzymes, integrated to the biorefinery plant, is being considered as a potential strategy that could be used to reduce costs. In such approach, the microbial production of enzymes can be carried out using the same lignocellulosic biomass as feedstock for fungal development and biofuels production. Most of the microbial cultivation processes for the production of industrial enzymes have been developed using the conventional submerged fermentation. Recently, a sequential solid-state followed by submerged fermentation has been described as a potential alternative cultivation method for cellulolytic enzymes production. This chapter presents the detailed procedure of the sequential cultivation method, which could be employed for the on-site production of the cellulolytic enzymes required to convert lignocellulosic biomass into simple sugars.","On-Site Production of Cellulolytic Enzymes by the Sequential Cultivation Method.","10.1007/978-1-4939-7877-9_19","ENG"
"FARINAS CS, 2018, METHODS MOL BIOL 2","The conversion of renewable lignocellulosic biomass into fuels, chemicals, and high-value materials using the biochemical platform has been considered the most sustainable alternative for the implementation of future biorefineries. However, the high cost of the cellulolytic enzymatic cocktails used in the saccharification step significantly affects the economics of industrial large-scale conversion processes. The on-site production of enzymes, integrated to the biorefinery plant, is being considered as a potential strategy that could be used to reduce costs. In such approach, the microbial production of enzymes can be carried out using the same lignocellulosic biomass as feedstock for fungal development and biofuels production. Most of the microbial cultivation processes for the production of industrial enzymes have been developed using the conventional submerged fermentation. Recently, a sequential solid-state followed by submerged fermentation has been described as a potential alternative cultivation method for cellulolytic enzymes production. This chapter presents the detailed procedure of the sequential cultivation method, which could be employed for the on-site production of the cellulolytic enzymes required to convert lignocellulosic biomass into simple sugars.","On-Site Production of Cellulolytic Enzymes by the Sequential Cultivation Method","10.1007/978-1-4939-7877-9\_19","ENGLISH"
"FERNANDEZ-LOPEZ L, 2021, COMPUT STRUCT BIOTECHNOL J","Many microorganisms feed on the tissue and recalcitrant bone materials from dead animals, however little is known about the collaborative effort and characteristics of their enzymes. In this study, microbial metagenomes from symbionts of the marine bone-dwelling worm Osedax mucofloris, and from microbial biofilms growing on experimentally deployed bone surfaces were screened for specialized bone-degrading enzymes. A total of 2,043 taxonomically (closest match within 40 phyla) and functionally (1 proteolytic and 9 glycohydrolytic activities) diverse and non-redundant sequences (median pairwise identity of 23.6%) encoding such enzymes were retrieved. The taxonomic assignation and the median identity of 72.2% to homologous proteins reflect microbial and functional novelty associated to a specialized bone-degrading marine community. Binning suggests that only one generalist hosting all ten targeted activities, working in synergy with multiple specialists hosting a few or individual activities. Collagenases were the most abundant enzyme class, representing 48% of the total hits. A total of 47 diverse enzymes, representing 8 hydrolytic activities, were produced in Escherichia coli, whereof 13 were soluble and active. The biochemical analyses revealed a wide range of optimal pH (4.0–7.0), optimal temperature (5–65 °C), and of accepted substrates, specific to each microbial enzyme. This versatility may contribute to a high environmental plasticity of bone-degrading marine consortia that can be confronted to diverse habitats and bone materials. Through bone-meal degradation tests, we further demonstrated that some of these enzymes, particularly those from Flavobacteriaceae and Marinifilaceae, may be an asset for development of new value chains in the biorefinery industry. © 2021","The bone-degrading enzyme machinery: From multi-component understanding to the treatment of residues from the meat industry","10.1016/j.csbj.2021.11.027","ENGLISH"
"FRANDSEN KEH, 2021, J BIOL CHEM","Understanding enzymatic breakdown of plant biomass is crucial to develop nature-inspired biotechnological processes. Lytic polysaccharide monooxygenases (LPMOs) are microbial enzymes secreted by fungal saprotrophs involved in carbon recycling. LPMOs modify biomass by oxidatively cleaving polysaccharides, thereby enhancing the efficiency of glycoside hydrolases. Fungal AA9 LPMOs are active on cellulose, but some members also display activity on hemicelluloses and/or oligosaccharides. Although the active site subsites are well defined for a few model LPMOs, the molecular determinants driving broad substrate specificity are still not easily predictable. Based on bioinformatic clustering and sequence alignments, we selected seven fungal AA9 LPMOs that differ in the amino-acid residues constituting their subsites. Investigation of their substrate specificities revealed that all these LPMOs are active on cellulose and cello-oligosaccharides, as well as plant cell wall-derived hemicellulosic polysaccharides, and carry out C4 oxidative cleavage. The product profiles from cello-oligosaccharide degradation suggest that the subtle differences in amino-acid sequence within the substrate-binding loop regions lead to different preferred binding modes. Our functional analyses allowed us to probe the molecular determinants of substrate binding within two AA9 LPMO subclusters. Many wood-degrading fungal species rich in AA9 genes have at least one AA9 enzyme with structural loop features that allow recognition of short β-(1,4)-linked glucan chains. Time-course monitoring of these AA9 LPMOs on cello-oligosaccharides also provides a useful model system for mechanistic studies of LPMO catalysis. These results are valuable for the understanding of LPMO contribution to wood decaying process in nature and for the development of sustainable biorefineries.","Identification of the molecular determinants driving the substrate specificity of fungal lytic polysaccharide monooxygenases (LPMOs).","S0021-9258(20)00074-5","ENG"
"FRISVAD JC, 2018, APPL MICROBIOL BIOTECHNOL 1","This review presents an update on the current knowledge of the secondary metabolite potential of the major fungal species used in industrial biotechnology, i.e., Aspergillus niger, Aspergillus oryzae, and Trichoderma reesei. These species have a long history of safe use for enzyme production. Like most microorganisms that exist in a challenging environment in nature, these fungi can produce a large variety and number of secondary metabolites. Many of these compounds present several properties that make them attractive for different industrial and medical applications. A description of all known secondary metabolites produced by these species is presented here. Mycotoxins are a very limited group of secondary metabolites that can be produced by fungi and that pose health hazards in humans and other vertebrates when ingested in small amounts. Some mycotoxins are species-specific. Here, we present scientific basis for (1) the definition of mycotoxins including an update on their toxicity and (2) the clarity on misclassification of species and their mycotoxin potential reported in literature, e.g., A. oryzae has been wrongly reported as an aflatoxin producer, due to misclassification of Aspergillus flavus strains. It is therefore of paramount importance to accurately describe the mycotoxins that can potentially be produced by a fungal species that is to be used as a production organism and to ensure that production strains are not capable of producing mycotoxins during enzyme production. This review is intended as a reference paper for authorities, companies, and researchers dealing with secondary metabolite assessment, risk evaluation for food or feed enzyme production, or considerations on the use of these species as production hosts.","Safety of the fungal workhorses of industrial biotechnology: update on the mycotoxin and secondary metabolite potential of Aspergillus niger, Aspergillus oryzae, and Trichoderma reesei.","10.1007/S00253-018-9354-1","ENG"
"FRISVAD JC, 2018, APPL MICROBIOL BIOTECHNOL 2","This review presents an update on the current knowledge of the secondary metabolite potential of the major fungal species used in industrial biotechnology, i.e., Aspergillus niger, Aspergillus oryzae, and Trichoderma reesei. These species have a long history of safe use for enzyme production. Like most microorganisms that exist in a challenging environment in nature, these fungi can produce a large variety and number of secondary metabolites. Many of these compounds present several properties that make them attractive for different industrial and medical applications. A description of all known secondary metabolites produced by these species is presented here. Mycotoxins are a very limited group of secondary metabolites that can be produced by fungi and that pose health hazards in humans and other vertebrates when ingested in small amounts. Some mycotoxins are species-specific. Here, we present scientific basis for (1) the definition of mycotoxins including an update on their toxicity and (2) the clarity on misclassification of species and their mycotoxin potential reported in literature, e.g., A. oryzae has been wrongly reported as an aflatoxin producer, due to misclassification of Aspergillus flavus strains. It is therefore of paramount importance to accurately describe the mycotoxins that can potentially be produced by a fungal species that is to be used as a production organism and to ensure that production strains are not capable of producing mycotoxins during enzyme production. This review is intended as a reference paper for authorities, companies, and researchers dealing with secondary metabolite assessment, risk evaluation for food or feed enzyme production, or considerations on the use of these species as production hosts. © 2018, The Author(s).","Safety of the fungal workhorses of industrial biotechnology: update on the mycotoxin and secondary metabolite potential of Aspergillus niger, Aspergillus oryzae, and Trichoderma reesei","10.1007/s00253-018-9354-1","ENGLISH"
"FRISVAD JC, 2018, APPL MICROBIOL BIOTECHNOL 3","This review presents an update on the current knowledge of the secondary metabolite potential of the major fungal species used in industrial biotechnology, i.e., Aspergillus niger, Aspergillus oryzae, and Trichoderma reesei. These species have a long history of safe use for enzyme production. Like most microorganisms that exist in a challenging environment in nature, these fungi can produce a large variety and number of secondary metabolites. Many of these compounds present several properties that make them attractive for different industrial and medical applications. A description of all known secondary metabolites produced by these species is presented here. Mycotoxins are a very limited group of secondary metabolites that can be produced by fungi and that pose health hazards in humans and other vertebrates when ingested in small amounts. Some mycotoxins are species-specific. Here, we present scientific basis for (1) the definition of mycotoxins including an update on their toxicity and (2) the clarity on misclassification of species and their mycotoxin potential reported in literature, e.g., A. oryzae has been wrongly reported as an aflatoxin producer, due to misclassification of Aspergillus flavus strains. It is therefore of paramount importance to accurately describe the mycotoxins that can potentially be produced by a fungal species that is to be used as a production organism and to ensure that production strains are not capable of producing mycotoxins during enzyme production. This review is intended as a reference paper for authorities, companies, and researchers dealing with secondary metabolite assessment, risk evaluation for food or feed enzyme production, or considerations on the use of these species as production hosts.","Safety of the fungal workhorses of industrial biotechnology: update on the mycotoxin and secondary metabolite potential of Aspergillus niger, Aspergillus oryzae, and Trichoderma reesei","10.1007/s00253-018-9354-1","ENGLISH"
"FU J-X, 2024, FOOD BIOPROCESS TECHNOL","Baicalein and wogonin, two health-promoting flavonoid aglycones in Scutellaria baicalensis Georgi roots, have better bioactivity and bioavailability than their glycoside precursors (baicalin and wogonoside). The search for novel microorganisms for the fermentation of S. baicalensis roots to improve the yields of baicalein and wogonin is of great interest in the food and nutraceutical industries. In this study, a novel endophytic fungus (Penicillium rubens) capable of producing cellulase (0.82 ± 0.12 U/mL) and β-glucosidase (4.55 ± 0.97 U/mL) was used to ferment S. baicalensis roots to obtain high yields of baicalein and wogonin. Semi-solid-state fermentation with homogeneous fungal cultures was found to be the appropriate strategy. Under the optimal fermentation parameters (temperature 30 °C, inoculation dose of fungal cultures 4 mL/g, and time 60 h), the yields of baicalein and wogonin (46.95 ± 4.98 mg/g DW and 31.41 ± 9.36 mg/g DW) from S. baicalensis roots were tremendously increased by 16.13-fold and 15.47-fold over control, respectively. Results of industrial enzyme bioprocessing and scanning electron microscope indicated that the remarkable increase in aglycone product yields could be due to the synergistic effects of cellulase and β-glucosidase produced by P. rubens on cell wall hydrolysis and glycoside deglycosylation. In addition, extracts of S. baicalensis roots fermented by P. rubens showed a significant increase in antioxidant and antimicrobial activities. Overall, the semi-solid-state fermentation of S. baicalensis roots using the novel P. rubens was an effective strategy that could yield high quantities of baicalein and wogonin, which had promising potential in the food and nutraceutical industries. Graphical Abstract: (Figure presented.). © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Improvement of Baicalein and Wogonin Yields from Scutellaria baicalensis Georgi Roots Fermented by a Novel Endophytic Fungus Capable of Producing Cellulase and β-Glucosidase","10.1007/s11947-024-03347-7","ENGLISH"
"FURUKAWA T, 2014, FRONT BIOL","Lignocellulosic biomass is the most abundant renewable resource in nature and has received considerable attention as one of the most promising alternatives to oil resources for the provision of energy and certain raw materials. The phenolic polymer lignin is the second most abundant constituent of this biomass resource and has been shown to have the potential to be converted into industrially important aromatic chemicals after degradation. However, due to its chemical and structural nature, it exhibits high resistance toward mechanical, chemical, and biological degradation, and this causes a major obstacle for achieving efficient conversion of lignocellulosic biomass. In nature, lignin-degrading microorganisms have evolved unique extracellular enzyme systems to decompose lignin using radical mediated oxidative reactions. These microorganisms produce a set of different combinations of enzymes with multiple isozymes and isoforms by responding to various environmental stimuli such as nutrient availability, oxygen concentration and temperature, which are thought to enable effective decomposition of the lignin in lignocellulosic biomass. In this review, we present an overview of the microbial ligninolytic enzyme systems including general molecular aspects, structural features, and systematic differences in each microorganism. We also describe the gene expression pattern and the transcriptional regulation mechanisms of each ligninolytic enzyme with current data. © 2014, Higher Education Press and Springer-Verlag Berlin Heidelberg.","Microbial enzyme systems for lignin degradation and their transcriptional regulation","10.1007/s11515-014-1336-9","ENGLISH"
